Element ID,Name,Description,Applies To,Data Type,Data Size,R4 Resource,R4 Element,R4 FhirPath,R4 Discriminator,R4 Example,R4 Additional,R4 Derived,R4 Notes,CCW Mapping,CCLF Mapping,BFD Table Type,BFD Column Name,BFD Java Field Name,AB2D,BB2,BCDA,BFD,DPC,Synthetic Data
11,Brand Generic Code,Plan reported value indicating whether the plan adjudicated the claim as a brand or generic drug.,PDE,CHAR,1,ExplanationOfBenefit,supportingInfo[N].code.coding[N].code,supportingInfo.where(code.coding.system='https://bluebutton.cms.gov/resources/variables/brnd_gnrc_cd').code.coding.code,supportingInfo[N].code.coding[N].system = 'https://bluebutton.cms.gov/resources/variables/brnd_gnrc_cd',"[\n  {\n    ""sequence"": 12,\n    ""category"": {\n      ""coding"": [\n        {\n          ""system"": ""http://hl7.org/fhir/us/carin-bb/CodeSystem/C4BBSupportingInfoType"",\n          ""code"": ""brandgenericcode"",\n          ""display"": ""Brand Generic Code""\n        }\n      ]\n    },\n    ""code"": {\n      ""coding"": [\n        {\n          ""system"": ""https://bluebutton.cms.gov/resources/variables/brnd_gnrc_cd"",\n          ""code"": ""G"",\n          ""display"": ""Generic Null/missing""\n        }\n      ]\n    }\n  }\n]",eob.supportingInfo[N].code.coding[N].display = {corresponding description from valueset specified in .system};eob.supportingInfo[N].category.coding[N].system = 'http://hl7.org/fhir/us/carin-bb/CodeSystem/C4BBSupportingInfoType';eob.supportingInfo[N].category.coding[N].code = 'brandgenericcode';eob.supportingInfo[N].category.coding[N].display = 'Brand Generic Code',,,BRND_GNRC_CD,,CLAIM,brnd_gnrc_cd,brandGenericCode,,X,,X,X,X
12,Part B Deductible Applied Amount,The amount of the cash deductible as submitted on the claim. This variable is the beneficiary’s liability under the annual Part B deductible for all line items on the claim; it is the sum of all line-level deductible amounts.,Carrier;DME,NUM,12,ExplanationOfBenefit,benefitBalance[N].financial[N].usedMoney.value,benefitBalance[%n].financial.where(type.coding.code='https://bluebutton.cms.gov/resources/variables/carr_clm_cash_ddctbl_apld_amt').usedMoney.value,benefitBalance[N].financial[N].type.coding[N].system = 'https://bluebutton.cms.gov/resources/codesystem/benefit-balance';benefitBalance[N].financial[N].type.coding[N].code = 'https://bluebutton.cms.gov/resources/variables/carr_clm_cash_ddctbl_apld_amt',"[\n  {\n    ""type"": {\n      ""coding"": [\n        {\n          ""system"": ""https://bluebutton.cms.gov/resources/codesystem/benefit-balance"",\n          ""code"": ""https://bluebutton.cms.gov/resources/variables/carr_clm_cash_ddctbl_apld_amt"",\n          ""display"": ""Carrier Claim Cash Deductible Applied Amount (sum of all line-level deductible amounts)""\n        }\n      ]\n    },\n    ""usedMoney"": {\n      ""value"": 777,\n      ""currency"": ""USD""\n    }\n  }\n]",eob.benefitBalance[N].financial[N].type.coding[N].display = 'Carrier Claim Cash Deductible Applied Amount (sum of all line-level deductible amounts)';eob.benefitBalance[N].financial[N].usedMoney.currency = 'USD',,,CARR_CLM_CASH_DDCTBL_APLD_AMT,,CLAIM,carr_clm_cash_ddctbl_apld_amt,beneficiaryPartBDeductAmount,,X,,X,X,X
13,Claim Entry Code,"Carrier-generated code describing whether the Part B claim is an original debit, full credit, or replacement debit.",Carrier;DME,CHAR,1,ExplanationOfBenefit,extension[N].valueCoding.code,extension.where(url='https://bluebutton.cms.gov/resources/variables/carr_clm_entry_cd').valueCoding.code,extension[N].url = 'https://bluebutton.cms.gov/resources/variables/carr_clm_entry_cd';,"[\n  {\n    ""url"": ""https://bluebutton.cms.gov/resources/variables/carr_clm_entry_cd"",\n    ""valueCoding"": {\n      ""system"": ""https://bluebutton.cms.gov/resources/variables/carr_clm_entry_cd"",\n      ""code"": ""1"",\n      ""display"": ""Original debit; void of original debit (If CLM_DISP_CD = 3, code 1 means voided original debit)""\n    }\n  }\n]",eob.extension[N].valueCoding.display = {corresponding description from valueset specified in .system},,,CARR_CLM_ENTRY_CD,,CLAIM,carr_clm_entry_cd,claimEntryCode,,X,,X,X,X
14,HCPCS Year Code,The Healthcare Common Procedure Coding System (HCPCS) uses this terminal digit to specify the year that the HCPCS code was from for the claim.,Carrier;DME,CHAR,1,ExplanationOfBenefit,item[N].modifier[N].coding[N].version,item[%n].modifier.where(coding.system = 'https://bluebutton.cms.gov/resources/codesystem/hcpcs').coding.version,item[N].modifier[N].coding[N].system = 'https://bluebutton.cms.gov/resources/codesystem/hcpcs',"[\n  ""5""\n]",,,"If the HCPCS Year, is supplied, will be utilized for all HCPCS Modifiers for the item[N].modifier[N].coding[N].version.",CARR_CLM_HCPCS_YR_CD,,CLAIM LINE,carr_clm_hcpcs_yr_cd,hcpcsYearCode,,X,,X,X,X
15,Claim Payment Denial Code,The code on a non-institutional claim indicating who receives payment or if the claim was denied.,Carrier;DME,CHAR,2,ExplanationOfBenefit,extension[N].valueCoding.code,extension.where(url = 'https://bluebutton.cms.gov/resources/variables/carr_clm_pmt_dnl_cd').valueCoding.code,extension[N].url = 'https://bluebutton.cms.gov/resources/variables/carr_clm_pmt_dnl_cd',"[\n  {\n    ""url"": ""https://bluebutton.cms.gov/resources/variables/carr_clm_pmt_dnl_cd"",\n    ""valueCoding"": {\n      ""system"": ""https://bluebutton.cms.gov/resources/variables/carr_clm_pmt_dnl_cd"",\n      ""code"": ""1"",\n      ""display"": ""Physician/supplier""\n    }\n  }\n]",eob.extension[N].valueCoding.display = {corresponding description from valueset specified in .system},,,CARR_CLM_PMT_DNL_CD,CCLF5.CLM_CARR_PMT_DNL_CD,CLAIM,carr_clm_pmt_dnl_cd,paymentDenialCode,,X,,X,X,X
16,Carrier Primary Payer Paid Amount,"The amount of a payment made on behalf of a Medicare beneficiary by a primary payer other than Medicare, that the provider is applying to covered Medicare charges on a non-institutional claim.",Carrier;DME,NUM,12,ExplanationOfBenefit,total.amount.value,total.where(category.coding.where(code='https://bluebutton.cms.gov/resources/variables/clm_tot_chrg_amt')).amount.value,total.category.coding[N].system = 'https://bluebutton.cms.gov/resources/codesystem/adjudication';total.category.coding[N].code = 'https://bluebutton.cms.gov/resources/variables/clm_tot_chrg_amt',"[\n  {\n    ""category"": {\n      ""coding"": [\n        {\n          ""system"": ""http://hl7.org/fhir/us/carin-bb/CodeSystem/C4BBAdjudication"",\n          ""code"": ""priorpayerpaid"",\n          ""display"": ""Prior payer paid""\n        },\n        {\n          ""system"": ""https://bluebutton.cms.gov/resources/codesystem/adjudication"",\n          ""code"": ""https://bluebutton.cms.gov/resources/variables/clm_tot_chrg_amt"",\n          ""display"": ""Claim Total Charge Amount""\n        }\n      ]\n    },\n    ""amount"": {\n      ""value"": 0,\n      ""currency"": ""USD""\n    }\n  }\n]",eob.total.category.coding[N].display = 'Prior payer paid';eob.total.category.coding[N].system = 'https://bluebutton.cms.gov/resources/codesystem/adjudication';eob.total.category.coding[N].code = 'https://bluebutton.cms.gov/resources/variables/clm_tot_chrg_amt';eob.total.category.coding[N].display = 'Claim Total Charge Amount');eob.total.amount.currency = 'USD',,,CARR_CLM_PRMRY_PYR_PD_AMT,,CLAIM,carr_clm_prmry_pyr_pd_amt,primaryPayerPaidAmount,,X,,X,X,X
17,Provider Assignement Indicator,Variable indicates whether or not the provider accepts assignment for the noninstitutional claim.,Carrier;DME,CHAR,1,ExplanationOfBenefit,extension[N].valueCoding.code,extension.where(url='https://bluebutton.cms.gov/resources/variables/asgmntcd').valueCoding.code,extension[N].url = 'https://bluebutton.cms.gov/resources/variables/asgmntcd',"[\n  {\n    ""url"": ""https://bluebutton.cms.gov/resources/variables/asgmntcd"",\n    ""valueCoding"": {\n      ""system"": ""https://bluebutton.cms.gov/resources/variables/asgmntcd"",\n      ""code"": ""A"",\n      ""display"": ""Assigned claim""\n    }\n  }\n]",eob.extension[N].valueCoding.display = {corresponding description from valueset specified in .system},,,CARR_CLM_PRVDR_ASGNMT_IND_SW,,CLAIM,carr_clm_prvdr_asgnmt_ind_sw,providerAssignmentIndicator,,X,,X,X,X
18,Referring Provider Id Number,The provider identification number (PIN) of the physician/supplier (assigned by the MAC) who referred the beneficiary to the physician who ordered these services.,Carrier,CHAR,14,ExplanationOfBenefit,careTeam[N].provider.identifier[N].value,careTeam.where(role.coding.where(code = 'referring')).provider.identifier.where(type.coding.where(code='npi')).value,careTeam[N].role.coding[N].system = 'http://hl7.org/fhir/us/carin-bb/CodeSystem/C4BBClaimCareTeamRole';careTeam[N].role.coding[N].code = 'referring';careTeam[N].provider.identifier[N].type.coding[N].code = 'npi',"[\n  {\n    ""type"": {\n      ""coding"": [\n        {\n          ""system"": ""http://hl7.org/fhir/us/carin-bb/CodeSystem/C4BBIdentifierType"",\n          ""code"": ""npi"",\n          ""display"": ""National Provider Identifier""\n        }\n      ]\n    },\n    ""value"": ""8765676""\n  },\n  {\n    ""type"": {\n      ""coding"": [\n        {\n          ""system"": ""http://hl7.org/fhir/us/carin-bb/CodeSystem/C4BBIdentifierType"",\n          ""code"": ""npi"",\n          ""display"": ""National Provider Identifier""\n        }\n      ]\n    },\n    ""value"": ""K25852""\n  }\n]",eob.careTeam[N].role.coding[N].display = 'Referring';eob.careTeam[N].provider.identifier[N].type.coding[N].system = 'http://hl7.org/fhir/us/carin-bb/CodeSystem/C4BBIdentifierType';eob.careTeam[N].provider.identifier[N].type.coding[N].display = 'National Provvider Identifier',,"There may be multiple referring providers, some of which may not be from this field in the database.",CARR_CLM_RFRNG_PIN_NUM,,CLAIM,carr_clm_rfrng_pin_num,referringProviderIdNumber,X,X,,X,X,X
19,Anesthesia Unit Count,The base number of units assigned to the line item anesthesia procedure on the carrier claim (non-DMERC).,Carrier,NUM,2,ExplanationOfBenefit,item[N].extension[N].valueQuantity.value,item[%n].extension.where(url = 'https://bluebutton.cms.gov/resources/variables/carr_line_ansthsa_unit_cnt').valueQuantity.value,item[N].extension[N].url = 'https://bluebutton.cms.gov/resources/variables/carr_line_ansthsa_unit_cnt',,,,,CARR_LINE_ANSTHSA_UNIT_CNT,,CLAIM LINE,carr_line_ansthsa_unit_cnt,anesthesiaUnitCount,X,X,,X,X,X
20,CLIA Lab Number,The identification number assigned to the clinical laboratory providing services for the line item on the carrier claim (non-DMERC).,Carrier,CHAR,10,ExplanationOfBenefit,item[N].locationCodeableConcept.extension[N].valueCoding.code,item[%n].locationCodeableConcept.extension.where(url = 'https://bluebutton.cms.gov/resources/variables/carr_line_clia_lab_num').valueIdentifier.value,item[N].locationCodeableConcept.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/carr_line_clia_lab_num',"[\n  {\n    ""url"": ""https://bluebutton.cms.gov/resources/variables/carr_line_clia_lab_num"",\n    ""valueIdentifier"": {\n      ""system"": ""https://bluebutton.cms.gov/resources/variables/carr_line_clia_lab_num"",\n      ""value"": ""BB889999AA""\n    }\n  }\n]",eob.item[N].locationCodeableConcept.extension[N].valueCoding.display = {corresponding description from valueset specified in .system},,,CARR_LINE_CLIA_LAB_NUM,,CLAIM LINE,carr_line_clia_lab_num,cliaLabNumber,X,X,,X,X,X
21,Carrier MTUS Indicator Code,Code indicating the units associated with services needing unit reporting on the line item for the carrier claim (non-DMERC).,Carrier,CHAR,1,ExplanationOfBenefit,item[N].extension[N].valueCoding.code,item[%n].extension.where(url = 'https://bluebutton.cms.gov/resources/variables/carr_line_mtus_cd').valueCoding.code,item[N].extension[N].url = 'https://bluebutton.cms.gov/resources/variables/carr_line_mtus_cd',"[\n  {\n    ""url"": ""https://bluebutton.cms.gov/resources/variables/carr_line_mtus_cd"",\n    ""valueCoding"": {\n      ""system"": ""https://bluebutton.cms.gov/resources/variables/carr_line_mtus_cd"",\n      ""code"": ""3"",\n      ""display"": ""Services""\n    }\n  }\n]",eob.item[N].extension[N].valueCoding.display = {corresponding description from valueset specified in .system},,,CARR_LINE_MTUS_CD,,CLAIM,carr_line_mtus_cd,mtusCode,,X,,X,X,X
22,Carrier MTUS Count,"The count of the total units associated with services needing unit reporting such as transportation, miles, anesthesia time units, number of services, volume of oxygen or blood units.",Carrier,NUM,11,ExplanationOfBenefit,item[N].extension[N].valueQuantity.value,item[%n].extension.where(url = 'https://bluebutton.cms.gov/resources/variables/carr_line_mtus_cnt').valueQuantity.value,item[N].extension[N].url = 'https://bluebutton.cms.gov/resources/variables/carr_line_mtus_cnt',"[\n  {\n    ""url"": ""https://bluebutton.cms.gov/resources/variables/carr_line_mtus_cnt"",\n    ""valueQuantity"": {\n      ""value"": 1\n    }\n  },\n  {\n    ""url"": ""https://bluebutton.cms.gov/resources/variables/carr_line_mtus_cnt"",\n    ""valueCoding"": {\n      ""system"": ""https://bluebutton.cms.gov/resources/variables/carr_line_mtus_cnt"",\n      ""code"": ""3""\n    }\n  }\n]",,,,CARR_LINE_MTUS_CNT,,CLAIM,carr_line_mtus_cnt,mtusCount,,X,,X,X,X
23,Line Pricing Locality Code,Code denoting the carrier-specific locality used for pricing the service for this line item on the carrier claim (non-DMERC).,Carrier,CHAR,2,ExplanationOfBenefit,item[N].locationCodeableConcept.extension[N].valueCoding.code,item[%n].locationCodeableConcept.extension.where(url = 'https://bluebutton.cms.gov/resources/variables/carr_line_prcng_lclty_cd').valueCoding.code,item[N].locationCodeableConcept.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/carr_line_prcng_lclty_cd',"[\n  {\n    ""url"": ""https://bluebutton.cms.gov/resources/variables/carr_line_prcng_lclty_cd"",\n    ""valueCoding"": {\n      ""system"": ""https://bluebutton.cms.gov/resources/variables/carr_line_prcng_lclty_cd"",\n      ""code"": ""15"",\n      ""display"": ""CONNECTICUT""\n    }\n  }\n]",eob.item[N].locationCodeableConcept.extension[N].valueCoding.display = {corresponding description from valueset specified in .system},,,CARR_LINE_PRCNG_LCLTY_CD,,CLAIM LINE,carr_line_prcng_lclty_cd,linePricingLocalityCode,X,X,,X,X,X
24,Provider Type Code,Code identifying the type of provider furnishing the service for this line item on the carrier claim.,Carrier,CHAR,1,ExplanationOfBenefit,careTeam[N].extension[N].valueCoding.code,careTeam[%n].extension.where(url='https://bluebutton.cms.gov/resources/variables/carr_line_prvdr_type_cd').valueCoding.code,careTeam[N].extension[N].url = 'https://bluebutton.cms.gov/resources/variables/carr_line_prvdr_type_cd',,,,,CARR_LINE_PRVDR_TYPE_CD,CCLF5.RNDRG_PRVDR_TYPE_CD,CLAIM LINE,carr_line_prvdr_type_cd,providerTypeCode,X,X,,X,X,X
25,Reduced Payment Physician Assistant Code,"The code on the carrier (non-DMERC) line item that identifies the line items that have been paid a reduced fee schedule amount (65%, 75% or 85%) because a physician's assistant performed the service.",Carrier,CHAR,1,ExplanationOfBenefit,item[N].adjudication[N].reason.coding[N].code,item[%n].adjudication.reason.where(coding.system = 'https://bluebutton.cms.gov/resources/variables/carr_line_rdcd_pmt_phys_astn_c').coding.code,item[N].adjudication[N].reason.coding.system = 'https://bluebutton.cms.gov/resources/variables/carr_line_rdcd_pmt_phys_astn_c',"[\n  {\n    ""coding"": [\n      {\n        ""system"": ""https://bluebutton.cms.gov/resources/variables/carr_line_rdcd_pmt_phys_astn_c"",\n        ""code"": ""0"",\n        ""display"": ""N/A""\n      }\n    ]\n  }\n]",eob.item[N].adjudication[N].category.system = 'http://hl7.org/fhir/us/carin-bb/CodeSystem/C4BBAdjudicationDiscriminator';eob.item[N].adjudication[N].category.code = 'denialreason';eob.item[N].adjudication[N].category.display = 'Denial Reason';eob.item[N].adjudication[N].reason.coding.display = 'N/A',,,CARR_LINE_RDCD_PMT_PHYS_ASTN_C,,CLAIM LINE,carr_line_rdcd_pmt_phys_astn_c,reducedPaymentPhysicianAsstCode,,X,,X,X,X
26,RX Number,The number used to identify the prescription order number for drugs and biologicals purchased through the competitive acquisition program (CAP).,Carrier,CHAR,30,,,,,,,,,CARR_LINE_RX_NUM,,CLAIM LINE,carr_line_rx_num,rxNumber,,,,,,
